,Question,Answer
329,"
Q: Simple, random encounters in a python text-adventure.. I´m stuck        ","2 the dicts and your functions are really pointless as they are, they need to actual return something so you can randomly pick a pair: from random import choice # use to pick a random element from encounter_choice def enemy_bandit01(): return 'human', 'a sword' # just return a tuple def enemy_orc01(): return 'orc', 'a club' def enemy_wolf01(): return 'wolf', 'claws' encounter_choice = [enemy_bandit01, enemy_orc01, enemy_wolf01] # use str.format and unpack the tuple of race, weapon print('You fight against a {}. He has {}!'.format(*choice(encounter_choice)())) which may as well just become picking a random tuple from a list: from random import choice encounter_choice = [('human', 'a sword'), ( 'orc', 'a club'), ('wolf', 'claws') ] print('You fight against a {}. He has {}!'.format(*choice(encounter_choice))) *choice(encounter_choice) is equivalent to doing: race, weapon = choice(encounter_choice) print('You fight against a {}. He has {}!'.format(race, weapon)) share|improve this answer| follow |||| answered Sep 22 '16 at 19:41 Padraic CunninghamPadraic Cunningham 148k1717 gold badges164164 silver badges243243 bronze badges Thanks, that really helped me out! :) – BobJohn Sep 23 '16 at 8:42 add a comment |"
330,"
Q: Text Classification Using Python        ","2 The error is due to this line: prediksi = klasifikasi.predict([test_vector]) Most scikit estimators require an array of shape [n_samples, n_features]. The test_vector output from TfidfVectorizer is already in that shape ready to use for estimators. You don't need to wrap it in square brackets ([ and ]). The wrapping makes it a list which is unsuitable. Try using it like this: prediksi = klasifikasi.predict(test_vector) But even then you will gt error. Because of this line: test_vector = vectorizer.fit_transform(test_text) Here you are fitting the vectorizer in a different way than what was learned by the klasifikasi estimator. fit_transform() is just a shortcut for calling fit() (learning the data) and then transform() it. For test data, always use transform() method, never fit() or fit_transform() So the correct code will be: test_vector = vectorizer.transform(test_text) prediksi = klasifikasi.predict(test_vector) #Output: array(['organisasi'], dtype='|S10') share|improve this answer| follow |||| answered Jun 14 '17 at 8:08 Vivek KumarVivek Kumar 23k66 gold badges4747 silver badges7777 bronze badges add a comment |"
331,"
Q: Hebrew Text in Python        ","1 If your source text does indeed include a Hebrew text, the code-page-based character representation translated into universal UNICODE will allow you to construct the language corpus analytics, the presentation of the <<word>> content is not related to the content per-se, but depends on the UI-environment. As an example here, it is possible to both write and show Hebrew text, as the widget can properly handle the proper contexts ( visual representation of char(s), order of appearance, direction of flow ): aSequenceOfCHARs( ALEF, BET, MEM, NUN, AYIN, FINAL PE ) is displayed as: אבמנעף So your main focus -- the language corpus analytics in python -- may work with unicode text-elements independently of their output onto a presentation layer. share|improve this answer| follow |||| edited Oct 7 '14 at 5:33 answered Oct 7 '14 at 5:22 user3666197user3666197 24.7k44 gold badges3636 silver badges7272 bronze badges add a comment |"
332,"
Q: find article text Regex Python        ","1 Maybe you could add: (?:\n^[ ]{5}[A-Za-zА-Яа-я0-9_\-:,\.«» ]+)* After the second capture group, as in: ^([A-Za-zА-Яа-я0-9_\-:,\.«» ]+)\n{2}^[ ]{5}([A-Za-zА-Яа-я0-9_\-:,\.«» ]+(?:\n^[ ]{5}[A-Za-zА-Яа-я0-9_\-:,\.«» ]+)*)$ regex101 demo share|improve this answer| follow |||| answered Oct 10 '13 at 21:12 JerryJerry 64.1k1212 gold badges8383 silver badges119119 bronze badges Thanks, its works. As I understand this non-captured group match only last row of article and this extend diapason of group. – Dmitry Oct 10 '13 at 22:14 1 @Dimm It matches each other row following the first article row. The way it works is that it tries to find the 5 spaces indent and if there's no match, it stops there. That's how it can match the last row of the article :) – Jerry Oct 11 '13 at 9:10 add a comment |"
333,"
Q: python - edit a text file        ","2 I guess that you need to open the file, seek to the end, delete characters and save it. seek ( http://docs.python.org/library/stdtypes.html#file.seek ) accepts negative values (e.g. f.seek(-3, os.SEEK_END) sets the position to the third to last), so that you can easily go to the end of your file. http://docs.python.org/library/stdtypes.html#file-objects - this link may be a good starting point. share|improve this answer| follow |||| answered Sep 7 '10 at 9:22 dmitkodmitko 2,45922 gold badges1717 silver badges1515 bronze badges add a comment |"
334,"
Q: using Python for deleting a specific line in a file        ","192 First, open the file and get all your lines from the file. Then reopen the file in write mode and write your lines back, except for the line you want to delete: with open(""yourfile.txt"", ""r"") as f: lines = f.readlines() with open(""yourfile.txt"", ""w"") as f: for line in lines: if line.strip(""\n"") != ""nickname_to_delete"": f.write(line) You need to strip(""\n"") the newline character in the comparison because if your file doesn't end with a newline character the very last line won't either. share|improve this answer| follow |||| edited Mar 22 '19 at 15:35 Boris 3,47744 gold badges3030 silver badges4141 bronze badges answered Jan 17 '11 at 4:44 houbysofthoubysoft 27.1k2020 gold badges8888 silver badges145145 bronze badges 2 why do we have to open and close it twice? – Ooker Jun 25 '14 at 13:48 3 @Ooker: You have to open the file twice (and close it in between) because in the first mode it is ""read-only"" because you are just reading in the current lines in the file. You then close it and re-open it in ""write mode"", where the file is writable and you replace the contents of the file sans the line you wanted to remove. – Devin Jul 1 '14 at 16:19 4 Why does Python not allow us to do this in one line? – Ooker Jul 1 '14 at 16:37 5 @Ooker, When you read a line, try to imagine a cursor moving along the line as it's read. Once that line has been read the cursor is now past it. When you try to write into the file you write where the cursor currently is. By re-opening the file you reset the cursor. – Waddas Aug 6 '14 at 20:48 4 Use the with compound! – Sceluswe Sep 20 '16 at 15:37 | show 3 more comments"
335,"
Q: Python accessing text file [closed]        ","1 Using with open(...) as ... is preferred to open files (since they're then closed automatically). With the file opened, you're going to want to loop through the lines in your file using a for loop. Then separate the words in each line, and strip the white space from the words. Finally, you could use use % formatting to print the sentence you want for each line in the file. with open('personalnumbers.txt', 'r') as file_object: for line in file_object: number, name = [word.strip() for word in line.split(',')] print 'The personalnumber of %s is %s'%(name, number) share|improve this answer| follow |||| edited Sep 1 '17 at 16:56 stybl 8,10233 gold badges2121 silver badges4545 bronze badges answered Sep 1 '17 at 16:50 LuceLuce 6311 silver badge77 bronze badges add a comment |"
336,"
Q: Strange python type “Text”?        ","9 You are looking at a subclass of unicode most likely. I think you have an instance of suds.sax.text.Text() here. Since this is a subclass, isinstance(obj, unicode) is True. It's value is already a unicode string, so decoding will trigger an implicit encode first with ASCII, which will indeed fail. You can convert the type to unicode by simply using: unicode(obj[cur_key]['value']) but take into account the value can still be XML escaped; the .unescape() method returns an unescaped version (it'll return self if the value wasn't escaped to begin with). When comparing with another string, make sure they are exactly equal. Unicode values can contain many 'hidden' values, like zero-width characters or combining characters that can be represented in combined form as well. Use repr(value) to get an escaped representation that makes such codepoints more obvious. The suds.sax.text.Text() class doesn't special-case equality testing, so your != test would work just the same as if the value was a unicode string instead of the subclass. share|improve this answer| follow |||| edited May 22 '14 at 10:27 answered May 22 '14 at 10:17 Martijn Pieters♦Martijn Pieters 807k196196 gold badges30223022 silver badges26652665 bronze badges add a comment |"
337,"
Q: How do I create a text file that contain a list of results in python        ","1 You just need to open a file to write the prints: def menu(): target = 85 results = open(""results.txt"",'w') with open('homework.txt','r') as a_file: for l in a_file: name, number = l.split(',') number = int(number) results.write(name + ': ' + ('passed' if number>=target else str(target - number)) + '\n') input() share|improve this answer| follow |||| answered Jan 3 '17 at 17:53 Don CharlieDon Charlie 6155 bronze badges add a comment |"
338,"
Q: Get text from a program in Python        ","1 No, you can't, not directly. There are various accessibility, etc. APIs you could use to try and ""read"" the user interface of another program, but that's certainly a lot more involved than just a simple get_text() style call. (And for Windows Notepad, you can enumerate the Notepad main window's child windows, find the edit/rich-text control it's using and send a WM_GETTEXT message (if my memory serves) and hope it sends you some of the current text back...) share|improve this answer| follow |||| answered Mar 25 at 12:57 AKXAKX 64.1k66 gold badges6666 silver badges8080 bronze badges add a comment |"
339,"
Q: Reading a text file in python [closed]        ","0 Here is an example of reading and writing a text file below. I believe that you are looking for the ""open"" method. with open('New_Sample.txt', 'w') as f_object: f_object.write('Python sample!\n') f_object.write('Another line!\n') You simple open the file that you want and enter that file name as the first argument, and then you use 'w' as the second argument to write the file. If you Python file and text files are in different directories, you may have to also use the relative or absolute path to open the file. Since my Python file and text file are both in ""Downloads"" I do not have to do that in this scenario. Here is the code below to read in a text file: with open('New_Sample.txt') as f_object: for line in f_object: print(line.rstrip()) And here is the output: Python sample! Another line! You simply use the open method again and you can print the files in the .txt file line for line in a loop. I use rstrip() in this case though because you will have some white space when you attempt to print the lines. share|improve this answer| follow |||| answered May 17 '18 at 19:51 Simeon IkudaboSimeon Ikudabo 1,71111 gold badge44 silver badges1616 bronze badges add a comment |"
340,"
Q: python argparse print usage text after description        ","5 The argparse module does not provide any option to add a ""prolog"". When the help is displayed it always start with usage:. The best you can do is to customize the usage text adding the version number, using the usage parameter when you instantiate the ArgumentParser: import argparse parser = argparse.ArgumentParser(usage='Any text you want\n') Note that the help will still start with usage:. A dirty workaround that might work is to start the usage message with a \r: >>> import argparse >>> usage = '\r{}\nusage: %(prog)s etc.'.format('Version a b'.ljust(len('usage:'))) >>> parser = argparse.ArgumentParser(usage=usage) >>> parser.parse_args(['-h']) Version a b usage: etc. optional arguments: -h, --help show this help message and exit I don't think that this usage of \r is portable. There are probably some terminals where this trick doesn't work. I've ljusted the version string to make sure that when the trick works, the whole usage: string disappears from string and you don't get things like v1.2e: when using short version strings. Note: you must manually create the whole usage text now. share|improve this answer| follow |||| edited Mar 13 '14 at 15:18 answered Mar 13 '14 at 15:10 BakuriuBakuriu 76.7k1515 gold badges160160 silver badges186186 bronze badges add a comment |"
341,"
Q: Watson Speech to Text Python        ","0 Amazon Polly is a service that turns text into lifelike speech. Amazon Polly enables existing applications to speak as a first class feature and creates the opportunity for entirely new categories of speech-enabled products, from mobile apps and cars, to devices and appliances.Amazon Polly includes dozens of lifelike voices and support for multiple languages, so you can select the ideal voice and distribute your speech-enabled applications in many geographies. Amazon Polly is easy to use – you just send the text you want converted into speech to the Amazon Polly API, and Amazon Polly immediately returns the audio stream to your application so you can play it directly or store it in a standard audio file format, such as MP3. Amazon Polly supports Speech Synthesis Markup Language (SSML) tags like prosody so you can adjust the speech rate, pitch, or volume. Amazon Polly is a secure service that delivers all of these benefits at high scale and at low latency. You can cache and replay Amazon Polly’s generated speech at no additional cost. Amazon Polly lets you convert 5M characters per month for free during the first year, upon sign-up. Amazon Polly’s pay-as-you-go pricing, low cost per request, and lack of restrictions on storage and reuse of voice output make it a cost-effective way to enable speech synthesis everywhere. Here is link share|improve this answer| follow |||| answered Mar 14 '18 at 6:49 Abhijit JagtapAbhijit Jagtap 2,02222 gold badges2424 silver badges3636 bronze badges Hi I appreciate the help however the what I wanted to do is to get the user recorded audio sent via messenger and convert it to text so that my watson conversation will be able to respond. – John Michael Vallejo Mar 14 '18 at 7:10 Instead of Watson, you can use lex. – Abhijit Jagtap Jul 25 '18 at 8:49 add a comment |"
342,"
Q: Python filtering text        ","1 This will probably work: lines_you_want = [] with open (""test.txt"",""r"") as myResults: lines = myResults.readlines() indexes_of_lines_you_want = [] # We create a list for the indexes of the lines you want to extract for i in range(len(lines)): if '*******' in lines[i]: # We check if the current line is a line full of stars indexes_of_lines_you_want.extend([i+2, i+3]) # We add the indexes current_index+2 and current_index+3 to our list for i in indexes_of_lines_you_want: lines_you_want.append(lines[i]) after that you can save the lines from the list lines_you_want to a .csv file like this import csv myfile = open('result.csv', 'w', newline='') writer = csv.writer(myfile) writer.writerow(lines_you_want) though you should probably put import csv in the beginning. share|improve this answer| follow |||| edited Sep 21 '15 at 23:15 answered Sep 21 '15 at 23:01 Ilya PeterovIlya Peterov 1,46599 silver badges2222 bronze badges add a comment |"
343,"
Q: Python write text to .tar.gz        ","4 Yes, this is possible, but most likely not in the way you'd like to use it. .tar.gz is actually two things in one: gz or gzip is being used for compression, but this tool can only compress single files, so if you want to zip multiple files to a compressed archive, you would need to join these files first. This is what tar does, it takes multiple files and joins them to an archive. If you have a single long logfile, just gziping it would be easier. For this, Python has the gzip module, you can write directly into the compressed file: import gzip with gzip.open('logfile.gz', 'a') as log: # Needs to be a bytestring in Python 3 log.write(b""I'm a log message.\n"") If you definitely need to write into a tar-archive, you can use Python's tarfile module. However, this module does not support appending to a file (mode 'a'), therefore a tarfile might not be the best solution for logging. share|improve this answer| follow |||| answered Jul 6 '15 at 8:25 FinwoodFinwood 3,14411 gold badge1212 silver badges3434 bronze badges add a comment |"
344,"
Q: PYTHON: How can I display dot points in python text        ",1 you can use Unicode for that. u'•' == u'\u2022 Please check this Click here share|improve this answer| follow |||| answered Oct 14 '18 at 8:56 Hi Im Naru7oHi Im Naru7o 721111 bronze badges add a comment |
345,"
Q: Censoring/masking the text python        ","0 Create custom function with replace and pass it to list comprehension or to apply method with re.sub and words boundaries: import re df = pd.DataFrame({'ID':1, 'Note_Text':[ 'I served Mr. Mutiso, a ginger. Me, Julia. Linger'], 'Name_List':[['Mutiso','Julia','Linger']]}) def censor(text,L): for x in L: text = re.sub(r""\b{}\b"".format(x), x[0] + (len(x)-1)*'*',text) return text df['Censored_text1'] = [censor(a, b) for a,b in zip(df['Note_Text'], df['Name_List'])] df['Censored_text2'] = df.apply(lambda x: censor(x['Note_Text'], x['Name_List']), axis=1) print (df) ID Note_Text \ 0 1 I served Mr. Mutiso, a ginger. Me, Julia. Linger Name_List Censored_text1 \ 0 [Mutiso, Julia, Linger] I served Mr. M*****, a ginger. Me, J****. L***** Censored_text2 0 I served Mr. M*****, a ginger. Me, J****. L***** share|improve this answer| follow |||| edited Jan 21 at 12:41 answered Jan 21 at 11:46 jezraeljezrael 498k4040 gold badges595595 silver badges619619 bronze badges add a comment |"
346,"
Q: text file to python array [duplicate]        ","1 I would use np.save() which will save it as a binary file and use np.load() to get it back. share|improve this answer| follow |||| answered Oct 13 '17 at 14:09 questquest 1,47811 gold badge88 silver badges1414 bronze badges add a comment |"
347,"
Q: Python reading \n on the end of a line        ","0 All your lines have the newline; you need to remove it first before processing the line: value = line.rstrip('\n').split("","") Python doesn't remove it for you. The str.rstrip() method used here will remove any number of \n newline characters from the end of the line; there will never be more than one. You could also extend this to any whitespace, on both ends of the string, by using str.strip() with no arguments. You already start with strings, so there is no need to use str() calls here. If your lines are comma-separated, you could just use the csv module and have it take care of line endings: import csv irTable = {} with open(""devices.txt"", newline='') as file: for label, freq, state in csv.reader(file, skipinitialspace=True): irTable[label] = int(freq), state Demo: >>> from io import StringIO >>> import csv >>> demofile = StringIO('''\ ... lamp, 000000, False ... tv, 000000, False ... bedside, 000000, False ... pc, 000000, False ... bed tv, 000000, False ... ''') >>> irTable = {} >>> for label, freq, state in csv.reader(demofile, skipinitialspace=True): ... irTable[label] = int(freq), state ... >>> irTable {'lamp': (0, 'False'), 'tv': (0, 'False'), 'bedside': (0, 'False'), 'bed tv': (0, 'False'), 'pc': (0, 'False')} share|improve this answer| follow |||| edited Jan 3 '15 at 18:52 answered Jan 3 '15 at 18:46 Martijn Pieters♦Martijn Pieters 807k196196 gold badges30223022 silver badges26652665 bronze badges add a comment |"
348,"
Q: How to Passively Read Text File [Python]        ","0 Not sure why I totally didn't think of it, but I ended up just making a copy of the file that I called temp. It's not the cleanest approach, but it works perfectly. I just put shutil.copyfile(""/mnt/win/text.txt"",""/mnt/win/temp.txt"") before the text = open(...) during the loop, so the original text file seems to be left mostly untouched by the program. Such a simple solution I kind of feel ridiculous for asking share|improve this answer| follow |||| answered Aug 29 '13 at 21:03 AsaajAsaaj 24233 silver badges99 bronze badges So what magic does shutil.copyfile employ that keeps it from asserting the file lock? Whatever it is, maybe you could do the same thing in your original program. – Robᵩ Aug 29 '13 at 21:05 I'm not sure. To be honest, it probably still locks the file. But in using it a number of times, I haven't run in to a problem. My guess is that it's such a short lock it doesn't matter. I would have to do more research though – Asaaj Aug 29 '13 at 21:09 add a comment |"
349,"
Q: Splitting words in running text using Python?        ","5 Assuming your definition of ""word"" agrees with that of the regular expression module (re), that is, letters, digits and underscores, it's easy: import re fullwords = re.findall(r'\w+', thetext) where thetext is the string in question (e.g., coming from an f.read() of a file object f open for reading, if that's where you get your text from). If you define words differently (e.g. you want to include apostrophes so for example ""it's"" will be considered ""one word""), it isn't much harder -- just use as the first argument of findall the appropriate pattern, e.g. r""[\w']+"" for the apostrophe case. If you need to be very, very sophisticated (e.g., deal with languages that use no breaks between words), then the problem suddenly becomes much harder and you'll need some third-party package like nltk. share|improve this answer| follow |||| answered Jul 3 '10 at 17:27 Alex MartelliAlex Martelli 699k140140 gold badges11041104 silver badges13081308 bronze badges Thanks! This really helped me solve the issue. I had a look at nltk but unfortunately due to the C library installation dependency, I cannot use it with Google App Engine. – demos Jul 3 '10 at 17:45 add a comment |"
350,"
Q: draw hebrew text to image (python,PIL) [duplicate]        ",3 Sounds like PIL was built without FreeType support. Install the FreeType dev files and rebuild PIL again. share|improve this answer| follow |||| answered Feb 2 '10 at 8:56 Ignacio Vazquez-AbramsIgnacio Vazquez-Abrams 645k118118 gold badges11581158 silver badges12341234 bronze badges add a comment |
351,"
Q: python-docx get Header text        ","2 At the time you asked your question, this wasn't possible using the python-docx library. In the 0.8.8 release (January 7, 2019), header/footer support was added. In a Word document, each section has a header. There's a lot of potential wrinkles to headers (e.g. they can be linked from section to section or different on even/odd pages), but in the simple case, with one section and a non-complicated header, you just need to go through the paragraphs in the section header. from docx import Document document = Document(path_and_filename) section = document.sections[0] header = section.header for paragraph in header.paragraphs: print(paragraph.text) # or whatever you have in mind I'm working with a document that has the header laid out with a table instead of simple text. In that case, you'd need to work with the rows in header.tables[0] instead of the paragraphs. share|improve this answer| follow |||| answered Jan 20 '19 at 21:19 Matt SchoutenMatt Schouten 11133 bronze badges add a comment |"
352,"
Q: Text preprocessing in Python        ","0 No package necessary in R (nor in Python if I'm not mistaken). First get everything split up (and remove that initial 5). I'm guessing you want the result as numbers, not strings: x<-""5 0:10 8:1 18:2 54:1 442:2 3784:1 5640:1 43501:1"" y<-as.integer(unlist(strsplit(x,split="" |:""))[-1]) feature<-y[seq(1,length(y),by=2)] [1] 0 8 18 54 442 3784 5640 43501 value<-y[seq(2,length(y),by=2)] [1] 10 1 2 1 2 1 1 1 If you want them side-by-side: cbind(feature,value) feature value [1,] 0 10 [2,] 8 1 [3,] 18 2 [4,] 54 1 [5,] 442 2 [6,] 3784 1 [7,] 5640 1 [8,] 43501 1 If you want to assign them to a data.table for analysis: library(data.table) dt<-data.table(feature=feature,value=value) > dt feature value 1: 0 10 2: 8 1 3: 18 2 4: 54 1 5: 442 2 6: 3784 1 7: 5640 1 8: 43501 1 Etc. share|improve this answer| follow |||| answered Jul 17 '15 at 14:57 MichaelChiricoMichaelChirico 27.1k1111 gold badges8282 silver badges137137 bronze badges add a comment |"
353,"
Q: Remove a text box, python        ","0 You would need to use the MS Word API http://www.blog.pythonlibrary.org/2010/07/16/python-and-microsoft-office-using-pywin32/ share|improve this answer| follow |||| answered Mar 28 '12 at 3:34 BilljkBilljk 8,4011919 gold badges4747 silver badges6868 bronze badges add a comment |"
354,"
Q: TEXT compression in python        ","4 Sure you can do this: import base64 import zlib compressed = 'eJwdktkNgDAMQxfqR+5j/8V4QUJQUttx3Nrzl0+f+uunPPpm+Tf3Z/tKX1DM5bXP+wUFA777bCob4HMRfUk14QwfDYPrrA5gcuQB49lQQxdZpdr+1oN2bEA3pW5Nf8NGOFsR19NBszyX7G2raQpkVUEBdbTLuwSRlcDCYiW7GeBaRYJrgImrM3lmI/WsIxFXNd+aszXoRXuZ1PnZRdwKJeqYYYKq6y1++PXOYdgM0TlZcymCOdKqR7HYmYPiRslDr2Sn6C0Wgw+a6MakM2VnBk6HwU6uWqDRz+p6wtKTCg2WsfdKJwfJlHNaFT4+Q7PGfR9hyWK3p3464nhFwpOd7kdvjmz1jpWcxmbG/FJUXdMZgrpzs+jxC11twrBo3TaNgvsf8oqIYwT4r9XkPnNC1XcP7qD5cW7UHSJZ3my5qba+ozncl5kz8gGEEYOQ' data = zlib.decompress(base64.b64decode(compressed)) Note that this is only 139 characters shorter. But it works: >>> data '2,3,5,1,13,7,17,11,89,1,233,29,61,47,1597,19,37,41,421,199,28657,23,3001,521,53,281,514229,31,557,2207,19801,3571,141961,107,73,9349,135721,2161,2789,211,433494437,43,109441,139,2971215073,1103,97,101,6376021,90481,953,5779,661,14503,797,59,353,2521,4513,3010349,35239681,1087,14736206161,9901,269,67,137,71,6673,103681,9375829,54018521,230686501,29134601,988681,79,157,1601,2269,370248451,99194853094755497,83,9521,6709,173,263,1069,181,741469,4969,4531100550901,6643838879,761,769,193,599786069,197,401,743519377,919,519121,103,8288823481,119218851371,1247833,11128427,827728777,331,1459000305513721,10745088481,677,229,1381,347,29717,709,159512939815855788121,' If your code limit really is so short, maybe you are supposed to calculate this data or something? What is it? share|improve this answer| follow |||| edited Jan 30 '11 at 20:39 answered Jan 30 '11 at 20:31 Lennart RegebroLennart Regebro 133k3636 gold badges197197 silver badges235235 bronze badges And how did you get the compressed value programatically ? :) – Quixotic Jan 30 '11 at 20:35 I did the same thing, but in reverse. – Lennart Regebro Jan 30 '11 at 20:40 Okay let me try to rephrase :) I want to know how you obtain the compressed value in that format ? since something like this ideone.com/EDftR is not giving me that value. – Quixotic Jan 30 '11 at 20:44 Yeah, I said reverse. You obviously have to reverse the order of the actions, ie base64.b64encode(zlib.compress(s)) – Lennart Regebro Jan 30 '11 at 21:08 I have up-voted this one :) Now I understand both of the solutions :) – Quixotic Jan 30 '11 at 21:37 add a comment |"
355,"
Q: take values from text file , python        ","0 The pyparsing module may be of specific interest to you as well, https://pyparsing.wikispaces.com/ This can be used to parse string literals into an equation (things like * / ^ - +) without the use of eval() particularily important if you are on linux, insecure. This way, you could use ConfigParser to read in a section of variables, and the equations that go with, and evaluate them accordingly. share|improve this answer| follow |||| answered Feb 20 '15 at 15:11 Justin TokarchukJustin Tokarchuk 1741111 bronze badges Pyparsing is no longer hosted on wikispaces.com. Go to github.com/pyparsing/pyparsing – PaulMcG Aug 27 '18 at 12:59 add a comment |"
356,"
Q: Python text file strings into columns in Excel file        ","0 Question: I'd like to extract these strings into excel file in the following format | A | B | C --------------------------------------------------- 1 | melted | swimming | liquified Three words in one line, but according to your Questions Data, you have 6 words in one text line. Can't reproduce your Output! 1 | melted, swimming, liquified, liquidity, liquidness, liquid This is working for me: one_line_of_data = ""melted, swimming, liquified, liquidity, liquidness, liquid\n"" for line in f: liw = [word.strip() for x,word in enumerate(line.split("",""))] data.append(liw[:3]) data.append(liw[3:]) for row_index in range(len(data)): for col_index in range(len(data[row_index])): sheet.write(row_index, col_index, data[row_index][col_index]) Tested with Python:3.4.2 share|improve this answer| follow |||| answered May 7 '17 at 14:30 stovflstovfl 11.9k66 gold badges1616 silver badges3838 bronze badges add a comment |"
357,"
Q: Format text file with python script        ","1 reading the file, use str.strip to strip of the line and write to new file at the same time. strip will strip of tab or space or newline from both left and right side of the line with open('input.txt', 'r') as f, open('output.txt', 'w') as fo: for line in f: fo.write(line.strip()) # fo.write(line.strip() + '\n') # use this if wanna retain new line share|improve this answer| follow |||| answered Dec 6 '16 at 3:38 SkyccSkycc 2,76011 gold badge55 silver badges1515 bronze badges add a comment |"
358,"
Q: Underline html text in python [closed]        ","1 Since underlining in HTML can be applied with text-decoration:underline then just put your text between tags by using format() or newer f-strings: >>> a = 'I WANT TO SHOW THIS TEXT UNDERLINED' >>> b = '<span style=""text-decoration:underline"">{}</span>'.format(a) >>>print(b) <span style=""text-decoration:underline"">I WANT TO SHOW THIS TEXT UNDERLINED</span> >>> Or even better you could use an external css script: styles.css: h3 { text-decoration:underline; } And just insert it between the <head></head> tags. share|improve this answer| follow |||| edited Jun 8 '18 at 20:21 answered Jun 8 '18 at 20:15 SimonSimon 7,36977 gold badges3636 silver badges5656 bronze badges 1 Thanks Simon!!!! your answer helped me to figure this out. I did this by using html.H3(children = 'I WANT TO SHOW THIS TEXT UNDERLINED', style ={ 'text-decoration':'underline'}) – marcovc Jun 8 '18 at 20:36 add a comment |"
359,"
Q: combine text after : by python        ","3 import re one_line = ''.join(menu).replace('\n', ' ') print re.sub(', ([a-z]+:)', r'\n\1', one_line)[:-1] You might have to tweak the one_line to match your input better. share|improve this answer| follow |||| edited Sep 23 '15 at 8:52 answered Sep 23 '15 at 8:33 SorinSorin 10.2k1515 silver badges2222 bronze badges it print in one line – ArrayNo1 Sep 23 '15 at 9:30 it seems print in one line, and have not remove ',' when i am running in InteljIDEA – ArrayNo1 Sep 23 '15 at 10:01 @ArrayNo1 new line is system specific. Try replacing \n in the last line with either \r or \n\r or os.linesep + r'\1' (you'll need to import os for the last one). – Sorin Sep 23 '15 at 10:02 I got an answer it is working: one_line = ''.join(menu).replace('\n', ' ') list=one_line.split(',') s = ''; for x in list: if ':' in x: x='\n'+ x s = s + x +' ' print(s) – ArrayNo1 Sep 24 '15 at 0:35 add a comment |"
360,"
Q: Python Logging to Tkinter Text Widget        ","11 In addition to the above answers: even though there are a lot of proposed solutions for this (here and also in this other thread), I was struggling quite a bit to make this work myself. Eventually I ran into this text handler class by Moshe Kaplan, which uses a ScrolledText widget (which is probably easier than the ScrollBar method). It took me some time to figure out how to actually use Moshe's class in a threaded application. In the end I created a minimal demo script that shows how to make it all work. As it might be helpful to others I'm sharing it below. In my particular case I wanted to log to both the GUI and to a text file; if you don't need that just remove the filename attribute in logging.basicConfig. import time import threading import logging try: import tkinter as tk # Python 3.x import tkinter.scrolledtext as ScrolledText except ImportError: import Tkinter as tk # Python 2.x import ScrolledText class TextHandler(logging.Handler): # This class allows you to log to a Tkinter Text or ScrolledText widget # Adapted from Moshe Kaplan: https://gist.github.com/moshekaplan/c425f861de7bbf28ef06 def __init__(self, text): # run the regular Handler __init__ logging.Handler.__init__(self) # Store a reference to the Text it will log to self.text = text def emit(self, record): msg = self.format(record) def append(): self.text.configure(state='normal') self.text.insert(tk.END, msg + '\n') self.text.configure(state='disabled') # Autoscroll to the bottom self.text.yview(tk.END) # This is necessary because we can't modify the Text from other threads self.text.after(0, append) class myGUI(tk.Frame): # This class defines the graphical user interface def __init__(self, parent, *args, **kwargs): tk.Frame.__init__(self, parent, *args, **kwargs) self.root = parent self.build_gui() def build_gui(self): # Build GUI self.root.title('TEST') self.root.option_add('*tearOff', 'FALSE') self.grid(column=0, row=0, sticky='ew') self.grid_columnconfigure(0, weight=1, uniform='a') self.grid_columnconfigure(1, weight=1, uniform='a') self.grid_columnconfigure(2, weight=1, uniform='a') self.grid_columnconfigure(3, weight=1, uniform='a') # Add text widget to display logging info st = ScrolledText.ScrolledText(self, state='disabled') st.configure(font='TkFixedFont') st.grid(column=0, row=1, sticky='w', columnspan=4) # Create textLogger text_handler = TextHandler(st) # Logging configuration logging.basicConfig(filename='test.log', level=logging.INFO, format='%(asctime)s - %(levelname)s - %(message)s') # Add the handler to logger logger = logging.getLogger() logger.addHandler(text_handler) def worker(): # Skeleton worker function, runs in separate thread (see below) while True: # Report time / date at 2-second intervals time.sleep(2) timeStr = time.asctime() msg = 'Current time: ' + timeStr logging.info(msg) def main(): root = tk.Tk() myGUI(root) t1 = threading.Thread(target=worker, args=[]) t1.start() root.mainloop() t1.join() main() Github Gist link to above code here: https://gist.github.com/bitsgalore/901d0abe4b874b483df3ddc4168754aa share|improve this answer| follow |||| edited May 23 '17 at 12:02 Community♦ 111 silver badge answered Jan 31 '17 at 14:14 johanjohan 61466 silver badges1414 bronze badges For those of you getting the TclStackFree: incorrect freePtr error, the answer above solves this. Using self.widget.after(0, function_to_execute) ensures that the widget is modified by the thread it belongs to. – Felix May 5 '17 at 8:49 add a comment |"
361,"
Q: Passing a complete LPCSTR to a c++ dll from python text        ",0 Finally fix this. Turns out that I have to encode the text before I pass it to dll. So instead of doing this sampledll.Display('Some Text') It should be done like this sampledll.Display('Some Text'.encode('utf-8)) share|improve this answer| follow |||| answered May 31 '17 at 9:22 MonSh1rEMonSh1rE 10977 bronze badges add a comment |
